experiences_offered,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,24-Hour Check-in,Air Conditioning,Breakfast,BuzzerWireless Intercom,Cable TV,Carbon Monoxide Detector,Cat(s),Dog(s),Doorman,Dryer,Elevator in Building,Essentials,FamilyKid Friendly,Fire Extinguisher,First Aid Kit,Free Parking on Premises,Free Parking on Street,Gym,Hair Dryer,Hangers,Heating,Hot Tub,Indoor Fireplace,Internet,Iron,Kitchen,Laptop Friendly Workspace,Lock on Bedroom Door,Other pet(s),Paid Parking Off Premises,Pets Allowed,Pets live on this property,Pool,Safety Card,Shampoo,Smoke Detector,Smoking Allowed,Suitable for Events,TV,Washer,Washer  Dryer,Wheelchair Accessible,Wireless Internet,latitude,longitude
none,within an hour,1,0.89,t,t,t,Roslindale,t,House,Private room,1,1,1,1,Real Bed,57,350,1125,100,40,1,0,1,1125,6,36,66,341,17,94,9,10,10,10,9,9,f,f,flexible,f,f,2,0.48,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,42.281941832424685,-71.1333719
none,within a few hours,1,1,f,t,f,Roslindale,t,Condominium,Entire home/apt,4,1,2,2,Real Bed,93,1000,3500,100,40,1,0,1,1125,0,0,0,0,1,100,10,10,10,10,10,10,f,t,flexible,f,f,2,0.64,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,42.29172341146307,-71.13155602
none,within an hour,1,0.97,f,t,t,Roslindale,t,Apartment,Entire home/apt,5,1,2,3,Real Bed,150,1000,3500,100,50,5,30,2,21,8,17,39,129,12,97,10,10,10,10,9,10,f,f,moderate,f,f,1,4.93,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,42.28764103470109,-71.12988287
none,within a day,0.75,1,f,t,t,Roslindale,t,House,Entire home/apt,2,1.5,2,2,Real Bed,145,950,3000,500,150,2,35,3,1125,11,14,44,319,7,91,9,9,10,9,9,9,f,f,moderate,f,f,1,0.56,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,42.286264736208935,-71.13706513
none,within an hour,1,0.79,f,t,f,Roslindale,t,Apartment,Private room,1,0,1,1,Real Bed,60,350,1100,100,100,1,0,1,365,4,34,64,339,70,96,9,10,10,10,9,10,f,t,strict,f,f,2,1.16,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,42.28145207,-71.12925004
none,within a few hours,1,1,f,t,f,Roslindale,t,House,Private room,4,1,1,3,Real Bed,165,750,3500,100,50,3,15,3,1125,20,50,80,349,1,100,10,10,10,10,10,10,f,f,flexible,f,f,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,42.27440801253166,-71.12529404
none,within a few hours,1,1,f,t,f,Roslindale,t,Condominium,Private room,2,1,1,1,Real Bed,75,1000,3500,100,20,1,15,1,1125,0,0,0,0,1,100,10,10,10,10,10,10,f,t,flexible,f,f,2,0.37,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,42.29181491557826,-71.13158793
none,within a day,1,1,t,t,t,Roslindale,t,House,Private room,1,1,1,1,Real Bed,49,1000,3500,100,100,1,10,5,1125,0,0,20,295,0,91.91666667,9.431571325,9.2580412,9.646292948,9.646548609,9.414042707,9.168234443,f,f,strict,f,f,3,1.970908448,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,42.282224755841604,-71.11518856
none,within a day,1,1,t,t,t,Roslindale,f,House,Private room,2,1,1,1,Real Bed,49,280,950,100,100,1,10,5,1125,0,0,0,262,4,95,9,10,10,10,9,10,f,f,strict,f,f,3,0.29,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,42.28280175042395,-71.11514509
none,within a few hours,1,0.94,t,t,t,Roslindale,t,Villa,Private room,1,2.5,1,1,Real Bed,40,250,800,100,100,1,0,2,1125,6,27,57,332,31,99,10,10,10,10,9,10,f,f,flexible,f,f,3,1.24,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,42.27964781834151,-71.13605873
none,within an hour,1,1,f,t,t,Roslindale,t,House,Entire home/apt,3,1,0,2,Real Bed,120,1000,3500,150,50,3,0,2,6,0,7,32,207,16,98,10,10,10,10,10,10,f,t,moderate,f,f,1,5.93,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,42.29403534422037,-71.13223725
none,within an hour,1,0.79,f,t,f,Roslindale,t,Apartment,Private room,2,0,1,1,Real Bed,70,420,1320,100,100,1,10,1,365,0,0,24,299,38,98,9,10,10,10,9,9,f,t,strict,f,f,2,0.63,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,42.28052812623618,-71.13084254
none,within a day,1,0.63,f,t,t,Roslindale,f,House,Entire home/apt,8,1,3,5,Real Bed,150,700,2500,150,100,6,0,3,1125,0,0,0,0,21,88,9,9,9,10,9,10,f,f,flexible,f,f,1,1.58,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,42.27838291101699,-71.1287801
none,within an hour,1,1,f,t,f,Roslindale,t,House,Entire home/apt,5,3.5,4,3,Real Bed,175,1000,2800,500,100,1,0,14,1125,0,0,0,0,1,100,10,10,10,10,10,10,f,f,moderate,f,f,1,0.07,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,42.27683095063724,-71.12955974
none,within an hour,1,0.92,t,t,t,Roslindale,t,House,Private room,2,1.5,1,1,Real Bed,95,625,3500,100,10,1,0,1,1125,0,0,0,1,40,96,10,10,10,10,9,10,f,f,moderate,f,f,2,1.13,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,42.290903928902345,-71.13023771
none,within an hour,1,1,f,t,f,Roslindale,t,Apartment,Private room,2,1,1,1,Real Bed,90,500,1500,100,100,1,0,1,1125,0,0,0,122,43,95,10,9,10,10,9,9,f,f,strict,f,f,1,1.06,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,42.29151999170097,-71.13185777
none,within a few hours,1,1,t,t,t,Roslindale,t,House,Private room,2,1,1,1,Real Bed,95,500,1600,100,15,1,0,2,1125,8,16,37,107,33,99,10,10,10,10,10,10,f,f,moderate,f,f,1,4.02,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,42.28907107085577,-71.12823296
none,within a day,0.6,1,f,t,t,Roslindale,t,Apartment,Private room,2,1,1,2,Real Bed,100,500,1500,100,100,1,100,1,30,21,51,81,356,11,90,9,8,10,9,9,9,f,f,flexible,f,f,1,0.21,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42.292238240224194,-71.13449706
none,within an hour,1,0.89,t,t,t,Roslindale,t,House,Private room,2,1,1,1,Real Bed,67,400,1300,100,40,1,5,1,1125,0,5,35,310,20,96,10,9,10,10,9,10,f,f,flexible,f,f,2,0.58,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,42.28208581195228,-71.13334868
none,within a few hours,0.95,1,f,t,t,Roslindale,t,Condominium,Private room,1,1,1,1,Real Bed,55,1000,3500,100,100,1,0,1,4,0,0,0,129,30,92,10,9,10,10,9,9,f,f,flexible,f,f,1,1.93,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,42.284561507299415,-71.11972634
none,within an hour,1,1,f,t,t,Roslindale,t,Apartment,Entire home/apt,6,1,2,2,Real Bed,200,1000,3500,200,85,4,20,2,1125,21,48,78,353,2,100,10,10,10,10,9,10,f,t,strict,f,f,1,0.38,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,42.27696861949929,-71.11775586
none,within an hour,1,1,f,t,t,Roslindale,t,Apartment,Entire home/apt,4,1,1,2,Real Bed,150,1000,3500,100,100,1,0,1,1125,0,0,3,17,0,91.91666667,9.431571325,9.2580412,9.646292948,9.646548609,9.414042707,9.168234443,f,t,flexible,f,f,1,1.970908448,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,42.28922069154087,-71.13071327
none,within a day,1,1,t,t,t,Roslindale,t,House,Private room,1,1,1,1,Real Bed,49,280,950,100,100,1,10,5,1125,0,20,50,325,10,98,9,9,10,10,9,10,f,f,strict,f,f,3,0.72,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,42.28228162657036,-71.11681747
