experiences_offered,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,24-Hour Check-in,Air Conditioning,Breakfast,BuzzerWireless Intercom,Cable TV,Carbon Monoxide Detector,Cat(s),Dog(s),Doorman,Dryer,Elevator in Building,Essentials,FamilyKid Friendly,Fire Extinguisher,First Aid Kit,Free Parking on Premises,Free Parking on Street,Gym,Hair Dryer,Hangers,Heating,Hot Tub,Indoor Fireplace,Internet,Iron,Kitchen,Laptop Friendly Workspace,Lock on Bedroom Door,Other pet(s),Paid Parking Off Premises,Pets Allowed,Pets live on this property,Pool,Safety Card,Shampoo,Smoke Detector,Smoking Allowed,Suitable for Events,TV,Washer,Washer  Dryer,Wheelchair Accessible,Wireless Internet,latitude,longitude
none,within an hour,1,0.98,f,t,t,South End,t,Condominium,Private room,2,1.5,1,1,Real Bed,125,648,2183,180,50,1,70,2,1125,5,34,64,339,26,96,10,10,10,10,9,10,f,t,moderate,f,f,5,2.13,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,42.33831709434265,-71.07658637
none,within an hour,1,1,f,t,t,South End,t,Apartment,Private room,2,1,1,1,Real Bed,80,1000,1800,100,50,1,0,1,1125,0,0,0,0,4,90,10,9,10,9,9,10,f,f,moderate,f,f,1,0.34,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,42.336281548393224,-71.06903946
none,within an hour,0.86,1,t,t,t,South End,t,Apartment,Entire home/apt,8,2,3,4,Real Bed,373,1000,3500,300,150,4,0,2,1125,11,26,49,153,34,95,9,10,10,10,9,9,f,t,strict,f,f,3,3.98,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,42.34398116325845,-71.06485661
none,within an hour,1,1,f,t,t,South End,t,Apartment,Entire home/apt,8,2,3,4,Real Bed,525,1000,3500,500,150,1,0,2,1125,6,21,21,84,1,80,10,10,8,8,8,8,f,t,strict,f,f,4,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,42.34503948434617,-71.06213505
none,within a few hours,0.71,0.98,f,t,t,South End,t,Condominium,Entire home/apt,4,2,2,2,Real Bed,299,1000,3500,400,75,2,10,3,1125,11,30,30,30,18,96,10,10,9,10,9,9,f,t,strict,f,f,58,1.67,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,42.34549102547901,-71.06242223
none,within a few hours,0.71,0.98,f,t,t,South End,t,Condominium,Entire home/apt,2,1,1,1,Real Bed,269,1000,3500,400,95,1,10,3,1125,16,29,29,29,4,95,10,10,10,9,9,9,f,t,strict,f,f,58,0.79,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,42.34479539,-71.06325926
none,within a few hours,0.71,0.98,f,t,t,South End,t,Apartment,Entire home/apt,4,1,1,2,Real Bed,189,1000,3500,400,80,2,10,3,1125,12,28,28,28,20,90,10,10,9,10,9,10,f,t,strict,f,f,58,1.58,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,42.34576674071476,-71.06318919
none,within an hour,1,0.96,f,t,t,South End,t,Apartment,Entire home/apt,2,1,0,1,Real Bed,215,1200,4000,300,50,1,0,1,60,2,12,42,223,22,92,10,9,10,10,10,9,f,f,moderate,f,f,2,1.99,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,42.343874215927556,-71.07417158
none,within a few hours,0.71,0.98,f,t,t,South End,t,Condominium,Entire home/apt,4,1,2,2,Real Bed,279,1000,3500,400,95,2,10,3,1125,12,23,23,23,19,96,10,10,10,10,9,10,f,t,strict,f,f,58,2.17,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,42.345559883384496,-71.06337695
none,within a few hours,0.71,0.98,f,t,t,South End,t,Condominium,Entire home/apt,4,1,1,2,Real Bed,289,1000,3500,400,75,1,10,3,1125,12,30,30,30,14,93,10,9,9,10,9,10,f,t,strict,f,f,58,1.22,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,42.34633991,-71.06438062
none,within an hour,1,1,f,t,t,South End,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,229,1000,3500,100,50,1,0,2,1125,2,5,8,14,7,94,10,9,10,10,10,9,f,f,strict,f,f,1,0.52,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,42.34740737719368,-71.07267289
none,within an hour,1,1,f,t,t,South End,t,Apartment,Entire home/apt,4,1,1,2,Real Bed,154,1000,3500,300,90,1,0,2,1125,4,31,57,84,51,93,9,10,10,9,9,9,f,t,moderate,f,f,4,4.9,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,42.34425636322788,-71.06330675
none,within an hour,0.86,1,t,t,t,South End,t,Apartment,Entire home/apt,6,2,2,3,Real Bed,236,1000,3500,250,99,1,0,2,1125,10,17,47,137,42,96,10,10,9,9,10,10,f,t,moderate,f,f,3,4.23,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,42.34435008825967,-71.06362034
none,within a few hours,1,1,f,t,f,South End,t,Apartment,Entire home/apt,4,1,1,2,Real Bed,175,1000,3500,250,80,2,35,2,90,11,33,63,338,54,94,10,10,10,10,10,9,f,f,strict,f,f,2,4.44,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,42.34370147448126,-71.06921833
none,within an hour,1,1,f,t,f,South End,f,Apartment,Shared room,1,1,1,1,Real Bed,60,1000,3500,100,6,1,15,1,1125,30,60,90,365,0,91.91666667,9.431571325,9.2580412,9.646292948,9.646548609,9.414042707,9.168234443,f,f,flexible,f,f,1,1.970908448,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,42.33595845077829,-71.07507958
none,within a few hours,0.71,0.98,f,t,t,South End,t,Condominium,Entire home/apt,4,1,1,2,Real Bed,229,1000,3500,100,80,2,10,3,1125,11,21,21,21,17,91,10,10,10,9,9,9,f,t,strict,f,f,58,1.4,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,42.34487888239292,-71.06312885
none,within an hour,1,1,f,t,t,South End,t,Apartment,Entire home/apt,6,2,2,3,Real Bed,234,1000,3500,300,99,1,0,1,1125,7,22,22,85,57,94,10,10,9,10,9,9,f,t,moderate,f,f,4,5.61,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,42.34443021942535,-71.06251625
none,within a few hours,0.71,0.98,f,t,t,South End,t,Apartment,Entire home/apt,4,2,2,2,Real Bed,329,1000,3500,400,100,2,10,3,1125,8,8,8,8,29,96,10,10,9,10,9,9,f,t,strict,f,f,58,2.23,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,42.34485682989903,-71.0621073
none,within a few hours,0.71,0.98,f,t,t,South End,t,Apartment,Entire home/apt,4,1,1,2,Real Bed,209,1000,3500,400,95,1,10,3,1125,13,26,26,26,1,80,10,10,8,10,8,8,f,t,strict,f,f,58,0.12,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,42.34538511483549,-71.06362273
none,within a few hours,1,1,t,t,t,South End,t,Apartment,Entire home/apt,2,1,0,1,Real Bed,195,1250,3900,250,60,2,0,3,90,6,16,46,46,56,96,10,10,10,10,10,9,f,f,moderate,f,f,1,1.8,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,42.34169589,-71.06889225
none,within a few hours,0.71,0.98,f,t,t,South End,t,Apartment,Entire home/apt,4,1,1,2,Real Bed,169,1000,3500,400,95,2,10,3,1125,13,13,13,13,1,100,10,10,10,10,10,10,f,t,strict,f,f,58,0.09,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,42.34634241703738,-71.06385899
none,within an hour,1,0.97,f,t,t,South End,t,Townhouse,Entire home/apt,2,1,0,1,Real Bed,145,1000,3500,100,50,2,25,2,1125,2,7,21,134,5,96,10,10,10,10,10,10,f,f,strict,f,f,4,2.73,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,42.34445532804108,-71.07411174
none,within a few hours,0.91,0.94,f,t,f,South End,t,Apartment,Entire home/apt,2,1,0,1,Real Bed,219,1000,3500,100,100,1,0,2,1125,2,19,34,149,22,90,9,10,10,10,10,9,f,f,strict,f,f,11,2.99,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,42.34341555548842,-71.07951597
none,within a few hours,1,1,f,t,t,South End,t,Apartment,Entire home/apt,1,1,1,1,Real Bed,150,875,3500,100,150,1,0,14,365,6,26,56,331,7,100,10,10,10,10,10,10,f,f,strict,f,f,1,0.74,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,42.34559448453424,-71.0748806
none,within an hour,1,0.91,f,t,f,South End,t,Apartment,Entire home/apt,2,1,0,1,Real Bed,215,1000,3500,100,25,1,0,3,1125,2,11,11,156,1,100,10,10,10,10,10,10,f,f,strict,f,f,20,0.23,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,42.34382074445443,-71.07536875
none,within a few hours,1,0.91,f,t,t,South End,t,Apartment,Private room,2,1,1,1,Real Bed,155,1000,3500,100,225,1,0,7,1125,13,43,73,348,2,100,9,9,10,10,10,10,f,f,strict,f,f,50,0.13,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,42.34467679767926,-71.07762315
none,within a day,0.98,0.68,f,t,t,South End,t,Apartment,Entire home/apt,2,1,0,1,Real Bed,138,1000,3500,500,75,1,0,2,1125,2,21,46,321,12,70,8,9,9,8,10,8,f,f,strict,f,f,24,0.7,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,42.342220181831536,-71.08026313
none,within an hour,1,0.91,f,t,f,South End,t,Townhouse,Private room,2,1,1,1,Real Bed,170,1000,3500,100,25,1,0,3,1125,3,16,16,16,0,91.91666667,9.431571325,9.2580412,9.646292948,9.646548609,9.414042707,9.168234443,f,f,strict,f,f,20,1.970908448,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,42.34715258264577,-71.07190312
none,within an hour,1,1,f,t,t,South End,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,170,880,3500,200,50,2,50,3,1125,7,21,21,21,5,84,7,7,10,10,10,7,f,f,strict,f,f,1,0.13,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,42.34111124385927,-71.07029311
none,within an hour,1,1,f,t,f,South End,t,Apartment,Entire home/apt,4,1,2,2,Real Bed,195,1000,3500,250,50,2,30,2,1125,5,23,48,80,35,94,9,10,10,10,10,9,f,f,strict,f,f,1,4.98,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,42.34567869385285,-71.06943202
none,within an hour,1,1,f,t,t,South End,t,Apartment,Private room,2,1,1,1,Real Bed,125,714,3500,220,40,1,0,2,10,0,0,0,0,7,97,10,10,10,10,10,9,f,t,strict,f,f,1,0.68,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,42.34024520319869,-71.07663628
none,within an hour,1,0.7,f,t,f,South End,t,Condominium,Entire home/apt,3,1,2,2,Real Bed,250,1000,3500,100,60,3,50,2,1125,0,4,4,4,2,100,10,10,10,10,10,10,f,f,strict,f,f,1,1.13,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,42.33902208244409,-71.07704211
none,within an hour,1,1,f,t,f,South End,t,Apartment,Private room,1,1,1,1,Real Bed,100,1000,1600,100,100,1,0,30,1125,0,0,0,248,26,92,10,9,9,10,9,9,f,f,moderate,f,f,1,0.91,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,42.34096120424673,-71.06641321
none,within a few hours,1,0.91,f,t,t,South End,t,Apartment,Entire home/apt,2,1,0,1,Real Bed,137,1000,3500,100,225,1,0,7,1125,0,5,35,310,1,100,10,10,10,10,10,10,f,f,strict,f,f,50,0.09,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,42.34468465143812,-71.07663304
none,within a few hours,1,0.91,f,t,t,South End,t,Apartment,Entire home/apt,2,1,0,1,Real Bed,137,1000,3500,100,225,1,0,7,1125,0,5,35,310,0,91.91666667,9.431571325,9.2580412,9.646292948,9.646548609,9.414042707,9.168234443,f,f,strict,f,f,50,1.970908448,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,42.345612866132925,-71.07698748
none,within a few hours,0.71,0.98,f,t,t,South End,t,Condominium,Entire home/apt,4,1,1,2,Real Bed,199,1000,3500,400,95,2,10,3,1125,20,45,45,45,14,91,10,10,9,9,9,9,f,t,strict,f,f,58,1.33,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,42.34632376109648,-71.06301627
none,within a few hours,1,0.87,t,t,f,South End,t,Apartment,Entire home/apt,4,1,1,1,Real Bed,239,1000,5450,100,100,2,25,3,89,4,14,25,292,16,93,10,10,10,10,10,9,f,f,strict,f,f,12,0.91,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,42.337661246627015,-71.07280868
none,within a day,0.92,0.93,f,t,f,South End,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,185,995,3295,150,75,1,25,3,1125,3,15,45,135,11,98,10,10,10,10,10,9,f,f,moderate,f,f,1,1.74,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,42.34641699535807,-71.07314861
none,within a few hours,1,0.75,f,t,t,South End,t,Apartment,Entire home/apt,4,1,1,1,Real Bed,175,800,2700,100,125,1,0,1,1125,5,21,44,319,27,93,10,9,10,10,9,9,f,f,strict,f,f,6,1.12,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,42.34032332598296,-71.07571534
none,within a day,1,0.67,f,t,f,South End,t,Apartment,Entire home/apt,4,1,2,2,Real Bed,200,1000,3500,100,40,1,0,2,1125,0,0,0,0,4,95,10,10,10,10,10,10,f,f,strict,f,f,1,1.43,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,42.339183216320194,-71.0781845
none,within an hour,1,0.86,f,t,t,South End,f,Apartment,Entire home/apt,2,1,1,1,Real Bed,175,1000,3500,150,25,1,0,1,1125,0,0,0,248,39,93,9,9,10,10,9,9,f,f,strict,f,f,1,1.61,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,42.33663177716327,-71.07488543
none,within an hour,1,1,f,t,t,South End,t,Condominium,Private room,3,1.5,1,2,Real Bed,125,1000,3500,100,30,2,20,1,90,1,11,27,68,4,100,10,10,10,10,10,10,f,f,moderate,f,f,1,4,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,42.33811321506902,-71.0782187
none,within a few hours,1,1,f,t,t,South End,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,150,1000,3500,500,50,2,50,5,120,2,2,2,2,1,100,10,10,10,10,10,10,f,f,flexible,f,f,1,0.79,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,42.33651865916773,-71.06969886
none,within a few hours,1,0.91,f,t,t,South End,t,Apartment,Entire home/apt,2,1,0,1,Real Bed,150,1000,3500,100,225,1,0,7,1125,0,0,3,278,0,91.91666667,9.431571325,9.2580412,9.646292948,9.646548609,9.414042707,9.168234443,f,f,strict,f,f,50,1.970908448,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,42.34490729984276,-71.07523415
none,within a day,0.9,0.76,f,t,f,South End,t,Dorm,Private room,2,1,1,1,Real Bed,75,1000,3500,100,100,1,0,1,1125,11,11,27,116,23,83,8,9,9,9,9,8,f,f,flexible,f,f,1,3.35,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,42.34707029449362,-71.07089196
none,within an hour,1,1,t,t,f,South End,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,200,1000,3500,100,100,2,25,1,1125,0,0,2,122,11,100,10,10,10,10,10,10,f,f,moderate,f,f,1,0.81,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,42.34053697,-71.07174927
none,within a few hours,1,1,f,t,t,South End,t,Apartment,Entire home/apt,3,1,2,2,Real Bed,275,1000,3500,100,100,2,25,2,5,0,0,5,5,7,100,10,10,10,10,10,9,f,f,flexible,f,f,1,2.41,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,42.341369565015626,-71.07886726
none,within an hour,1,1,f,t,f,South End,t,Apartment,Private room,1,1,1,1,Real Bed,120,1000,3500,100,100,1,0,1,1125,0,0,0,0,0,91.91666667,9.431571325,9.2580412,9.646292948,9.646548609,9.414042707,9.168234443,f,f,flexible,f,f,1,1.970908448,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,42.33828328,-71.07136231
none,within a few hours,1,0.83,t,t,t,South End,t,Apartment,Entire home/apt,5,2,3,4,Real Bed,600,1000,3500,500,100,4,0,3,1125,18,48,74,331,35,99,10,10,10,10,10,10,f,f,moderate,f,f,3,2.08,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,42.34289559128459,-71.07423168
none,within a day,1,1,f,t,t,South End,f,Apartment,Private room,2,1,1,1,Real Bed,125,1000,3500,100,15,1,0,1,1125,0,0,0,0,10,94,9,9,9,10,9,9,f,f,flexible,f,f,2,0.77,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,42.34436997,-71.06547544
none,within an hour,1,1,t,t,t,South End,t,Apartment,Entire home/apt,3,1,2,2,Real Bed,265,1000,3500,500,55,3,35,2,1125,12,18,34,306,42,96,10,10,10,10,10,10,f,t,moderate,f,f,1,7.16,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,42.337137224003314,-71.07672505
none,within an hour,1,1,t,t,f,South End,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,160,1000,3100,400,200,2,40,32,1125,0,0,0,252,15,89,9,10,9,9,10,9,f,f,strict,f,t,4,0.4,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,42.34419543393126,-71.07363011
none,within a few hours,1,0.91,f,t,t,South End,t,Apartment,Entire home/apt,2,1,0,1,Real Bed,155,1000,3500,100,225,1,0,7,1125,0,0,25,300,3,93,9,10,9,10,10,9,f,f,strict,f,f,50,0.25,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,42.34341272279628,-71.07604008
none,within a few hours,1,0.91,f,t,t,South End,t,Apartment,Entire home/apt,2,1,0,1,Real Bed,137,1000,3500,100,225,1,0,7,1125,0,5,35,310,0,91.91666667,9.431571325,9.2580412,9.646292948,9.646548609,9.414042707,9.168234443,f,f,strict,f,f,50,1.970908448,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,42.343230621089084,-71.07748715
none,within an hour,1,0.94,f,t,t,South End,t,Apartment,Entire home/apt,3,1,1,1,Real Bed,99,1250,4235,400,75,2,25,2,1125,0,0,0,0,20,98,10,10,10,10,10,10,f,f,strict,f,f,4,1.39,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,42.34191419487412,-71.0808063
none,within a few hours,1,0.96,f,t,t,South End,t,House,Private room,1,1.221646598,1,1,Real Bed,98,625,3500,100,10,1,0,1,365,11,28,54,329,184,91,9,8,10,9,10,9,f,f,moderate,f,f,5,3.09,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,42.34642847317033,-71.0750299
none,within a few hours,1,0.91,f,t,t,South End,t,Apartment,Entire home/apt,2,1,0,1,Real Bed,150,1000,3500,100,225,1,0,7,1125,0,21,51,326,0,91.91666667,9.431571325,9.2580412,9.646292948,9.646548609,9.414042707,9.168234443,f,f,strict,f,f,50,1.970908448,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,42.34513409546315,-71.07513462
none,within a day,0.8,0.55,f,t,t,South End,t,Apartment,Entire home/apt,2,1,0,1,Real Bed,125,1000,3500,200,45,1,0,1,1125,0,0,3,3,8,97,10,9,10,10,10,10,f,f,flexible,f,f,1,1.68,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,42.34253285485185,-71.07051706
none,within a few hours,1,1,t,t,t,South End,t,Apartment,Entire home/apt,3,1,1,1,Real Bed,235,1400,5000,200,70,2,15,2,1125,9,16,46,321,66,98,10,10,10,10,10,10,f,f,strict,f,f,1,5.34,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,42.343841430642414,-71.07182664
none,within a day,0.68,0.73,f,t,t,South End,f,Apartment,Entire home/apt,4,1,1,1,Real Bed,149,1000,3500,100,20,3,20,1,3,4,19,49,324,13,92,10,8,10,10,10,9,f,f,strict,f,f,1,3.64,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,42.33931504233381,-71.07788277
none,within a few hours,0.98,0.66,f,t,t,South End,t,Apartment,Entire home/apt,2,1,0,1,Real Bed,100,1000,3500,500,75,1,0,2,1125,7,29,50,325,55,84,9,9,10,9,10,9,f,f,strict,f,f,19,3.08,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,42.34237255365213,-71.07922266
